pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility
WASP-166,b,WASP-166 b,Transit,0,1,5.44354,0.000004,-0.000004,0,1,0.0641,0.0011,-0.0011,0,1,0,,,0,1,88,0.7,-0.7,0,1,0.101,0.005,-0.005,0,1,Mass,0.63,0.03,-0.03,0,1,0.54,0.09,-0.09,0,1,0,0,0,09h39m30.09s,-20d58m56.9s,144.875375,,-20.982472,,1,113,1,-1,0,2,,,,,9.257,,0,6050,50,-50,0,2,1.19,0.06,-0.06,0,1,1.22,0.06,-0.06,0,2,0,25/07/2019,WASP-South
Kepler-1649,c,Kepler-1649 c,Transit,0,2,19.53527,0.0001,-0.0001,0,1,,,,,0,,,,,0,89.339,0.056,-0.056,0,1,,,,,0,,0.095,0.013,-0.009,0,1,,,,,0,0,1,0,19h30m00.90s,+41d49m49.5s,292.503769,0.000017,41.830421,0.000017,2,92.43,0.54,-0.54,0,1,17.131,,0,Kepler-band,16.268,,0,3240,61,-61,0,3,0.2,0.01,-0.01,0,2,0.23,0,0,0,2,0,23/04/2020,Kepler
K2-194,b,K2-194 b,Transit,0,1,39.721386,0.005704,-0.005555,0,1,,,,,0,,,,,0,89.065,0.65,-1.324,0,1,,,,,0,,0.325,0.055,-0.045,0,1,,,,,0,0,0,1,13h38m26.14s,-08d55m37.7s,204.608932,0,-8.92715,0,1,640.65,18.58,-18.58,0,1,12.908,0.03,0,V (Johnson),12.838,,0,5979,52,-52,0,2,1.11,0.05,-0.03,0,1,1.28,0.18,-0.17,0,2,0,15/02/2018,K2
K2-195,b,K2-195 b,Transit,0,2,15.852975,0.001201,-0.001168,0,2,0.1208,0.0016,-0.0017,0,1,,,,,0,,,,,1,,,,,0,,0.279,0.011,-0.011,0,2,,,,,0,0,0,1,13h19m19.56s,-08d30m34.1s,199.831512,0,-8.50948,0,1,317.83,4.15,-4.15,0,2,12.497,0.01,0,V (Johnson),12.324,,0,5713,87,-87,0,3,0.94,0.04,-0.04,0,2,0.99,0.02,-0.02,0,3,0,26/10/2018,K2
K2-195,c,K2-195 c,Transit,0,2,28.482786,0.006439,-0.00731,0,1,,,,,0,,,,,0,88.537,1.111,-2.691,0,1,,,,,0,,0.23,0.024,-0.013,0,1,,,,,0,0,0,1,13h19m19.56s,-08d30m34.1s,199.831512,0,-8.50948,0,1,317.83,4.15,-4.15,0,2,12.497,0.01,0,V (Johnson),12.324,,0,5713,87,-87,0,3,0.94,0.04,-0.04,0,2,0.99,0.02,-0.02,0,3,0,15/02/2018,K2
K2-196,b,K2-196 b,Transit,0,1,48.324222,0.008457,-0.008716,0,1,,,,,0,,,,,0,88.274,1.422,-2.35,0,1,,,,,0,,0.321,0.054,-0.045,0,1,,,,,0,0,0,1,13h21m49.52s,-08d28m18.2s,200.456345,0,-8.471721,0,1,594.09,22.29,-22.29,0,1,12.06,0.01,0,V (Johnson),11.927,,0,6045,50,-50,0,2,1.16,0.07,-0.05,0,1,1.54,0.23,-0.19,0,2,0,15/02/2018,K2
K2-197,b,K2-197 b,Transit,0,1,8.357881,0.00071,-0.000686,0,2,0.0806,0.0006,-0.0007,0,1,,,,,0,,,,,1,,,,,0,,0.228,0.014,-0.014,0,2,,,,,0,0,0,1,13h29m34.48s,-07d22m26.4s,202.393661,0,-7.374002,0,1,249.59,2.37,-2.37,0,2,12.157,0.01,0,V (Johnson),11.994,,0,5667,58,-58,0,3,1,0.02,-0.02,0,2,0.93,0.01,-0.01,0,3,0,26/10/2018,K2
K2-198,b,K2-198 b,Transit,0,3,17.0428683,0.0000071,-0.0000035,0,2,,,,,0,,,,,0,88.904,0.094,-0.027,0,2,,,,,0,,0.374,0.02,-0.009,0,2,,,,,0,0,0,1,13h15m22.51s,-06d27m53.6s,198.843811,0,-6.464886,0,1,110.91,0.87,-0.87,0,1,10.971,0.1,0,V (Johnson),10.996,,0,5212.9,99,-49.2,0,3,0.8,0.09,-0.04,0,2,0.76,0.04,-0.02,0,3,0,15/08/2019,K2
K2-199,b,K2-199 b,Transit,0,2,3.225338,0.000195,-0.000198,0,2,0.0385,0.0003,-0.0003,0,1,,,,,0,,,,,1,,,,,0,,0.167,0.012,-0.012,0,2,,,,,0,0,0,1,13h55m36.41s,-06d08m10.1s,208.901703,0,-6.136143,0,1,107.97,0.59,-0.59,0,2,12.289,0.02,0,V (Johnson),11.905,,0,4648,52,-52,0,3,0.73,0.02,-0.02,0,2,0.68,0.01,-0.01,0,3,0,26/10/2018,K2
K2-199,c,K2-199 c,Transit,0,2,7.374694,0.000306,-0.000291,0,2,0.0668,0.0005,-0.0005,0,1,,,,,0,,,,,1,,,,,0,,0.248,0.012,-0.012,0,2,,,,,0,0,0,1,13h55m36.41s,-06d08m10.1s,208.901703,0,-6.136143,0,1,107.97,0.59,-0.59,0,2,12.289,0.02,0,V (Johnson),11.905,,0,4648,52,-52,0,3,0.73,0.02,-0.02,0,2,0.68,0.01,-0.01,0,3,0,26/10/2018,K2
