plntname,ra_str,dec_str,mlmassplnj,mlmassplnjerr1,mlmassplnjerr2,mlmassplnjlim,mlmassplne,mlmassplneerr1,mlmassplneerr2,mlmassplnelim,mlsmaproj,mlsmaprojerr1,mlsmaprojerr2,mlsmaprojlim,mlmasslens,mlmasslenserr1,mlmasslenserr2,mlmasslenslim,mldistl,mldistlerr1,mldistlerr2,mldistllim,mldists,mldistserr1,mldistserr2,mldistslim,mltsepmin,mltsepminerr1,mltsepminerr2,mltsepminlim,mlsepminnorm,mlsepminnormerr1,mlsepminnormerr2,mlsepminnormlim,mlxtimeein,mlxtimeeinerr1,mlxtimeeinerr2,mlxtimeeinlim,mlradsnorm,mlradsnormerr1,mlradsnormerr2,mlradsnormlim,mlsepinsnorp,mlsepinsnorperr1,mlsepinsnorperr2,mlsepinsnorplim,mlmassratio,mlmassratioerr1,mlmassratioerr2,mlmassratiolim,mlangstlax,mlangstlaxerr1,mlangstlaxerr2,mlangstlaxlim,mlmagis,mlmagiserr1,mlmagiserr2,mlmagislim,mlmagibl,mlmagiblerr1,mlmagiblerr2,mlmagibllim,mlradeinang,mlradeinangerr1,mlradeinangerr2,mlradeinanglim,mlpmrells,mlpmrellserr1,mlpmrellserr2,mlpmrellslim,mlmodeldef,plntreflink
OGLE-2011-BLG-0251L b,17h38m14.18s,-27d08m10.1s,0.53,0.21,-0.21,0,170,67,-67,0,2.72,0.75,-0.75,0,0.26,0.11,-0.11,0,2570,610,-610,0,,,,,2455781.503,0.004,-0.004,0,-0.0563,0.0004,-0.0004,0,63.88,0.46,-0.46,0,13.9,0.5,-0.5,0,1.408,0.019,-0.019,0,19.2,1.2,-1.2,0,-1.855,0.002,-0.002,0,15.97,0.01,-0.01,0,17.04,0.03,-0.03,0,0.75,0.28,-0.28,0,4.28,1.62,-1.62,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2013A&A...552A..70K/abstract target=ref>Kains et al. 2013</a>
OGLE-2014-BLG-0676L b,17h52m24.50s,-30d32m54.20s,,,,,,,,,,,,,,,,,,,,,,,,,2456777.306,0.051,-0.051,0,0.0043,0.0005,-0.0005,0,107.3,11.4,-11.4,0,0.269,0.031,-0.031,0,0.76,0.014,-0.014,0,48.5,3.1,-3.1,0,2.27,0.045,-0.045,0,23.512,0.11,-0.11,0,,,,,1.38,0.43,-0.43,0,,,,,0,<a href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.466.2710R/abstract target=ref>Rattenbury et al. 2017</a>
OGLE-2014-BLG-0676L b,17h52m24.50s,-30d32m54.20s,3.09,1.02,-1.12,0,982,324,-356,0,4.4,2.16,-1.46,0,0.62,0.2,-0.22,0,2220,960,-830,0,,,,,2456777.335,0.058,-0.058,0,0.0037,0.0004,-0.0004,0,116.3,12.2,-12.2,0,0.278,0.033,-0.033,0,1.347,0.024,-0.024,0,47.8,1.3,-1.3,0,2.203,0.044,-0.044,0,23.512,0.11,-0.11,0,,,,,1.38,0.43,-0.43,0,4.33,1.43,-1.43,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.466.2710R/abstract target=ref>Rattenbury et al. 2017</a>
OGLE-2011-BLG-0265L b,17h57m47.72s,-27d23m40.3s,0.56,0.25,-0.13,0,180,79,-41,0,1.51,0.31,-0.2,0,0.136,0.061,-0.031,0,3490,710,-490,0,,,,,2455760.093,0.0085,-0.0085,0,,,,,53.33,0.27,-0.27,0,,,,,1.0379,0.00085,-0.00085,0,39.23,0.59,-0.59,0,0.4531,0.004,-0.004,0,17.57,,,0,,,,,0.423,0.04,-0.04,0,2.89,0.29,-0.29,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804...33S/abstract target=ref>Skowron et al. 2015</a>
OGLE-2015-BLG-0966L b,17h55m01.02s,-29d02m49.6s,0.066,0.006,-0.006,0,21,2,-2,0,2.7,,,0,0.38,0.04,-0.04,0,3300,,,0,8000,,,0,2457205.194,0.0012,-0.0012,0,-0.01149,0.00009,-0.00009,0,57.8,0.4,-0.4,0,1.404,0.014,-0.014,0,0.9091,0.0026,-0.0026,0,1.7,0.05,-0.05,0,-0.88,0.002,-0.002,0,,,,,,,,,0.76,0.07,-0.07,0,4.8,0.5,-0.5,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...819...93S/abstract target=ref>Street et al. 2016</a>
OGLE-2015-BLG-0966L b,17h55m01.02s,-29d02m49.6s,0.066,0.006,-0.006,0,21,2,-2,0,2.1,,,0,0.38,0.04,-0.04,0,2500,,,0,4500,,,0,2457205.194,0.0012,-0.0012,0,-0.01149,0.00009,-0.00009,0,57.8,0.4,-0.4,0,1.404,0.014,-0.014,0,0.9091,0.0026,-0.0026,0,1.7,0.05,-0.05,0,-0.88,0.002,-0.002,0,,,,,,,,,0.76,0.07,-0.07,0,4.8,0.5,-0.5,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...819...93S/abstract target=ref>Street et al. 2016</a>
OGLE-2015-BLG-0966L b,17h55m01.02s,-29d02m49.6s,0.066,0.006,-0.006,0,21,2,-2,0,2.7,,,0,0.38,0.04,-0.04,0,3300,,,0,8000,,,0,2457205.194,0.0012,-0.0012,0,-0.01152,0.0001,-0.0001,0,57.7,0.4,-0.4,0,1.406,0.013,-0.013,0,1.1147,0.0033,-0.0033,0,1.68,0.05,-0.05,0,-0.88,0.002,-0.002,0,,,,,,,,,0.76,0.07,-0.07,0,4.8,0.5,-0.5,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...819...93S/abstract target=ref>Street et al. 2016</a>
OGLE-2015-BLG-0966L b,17h55m01.02s,-29d02m49.6s,0.066,0.006,-0.006,0,21,2,-2,0,2.1,,,0,0.38,0.04,-0.04,0,2500,,,0,4500,,,0,2457205.194,0.0012,-0.0012,0,-0.01152,0.0001,-0.0001,0,57.7,0.4,-0.4,0,1.406,0.013,-0.013,0,1.1147,0.0033,-0.0033,0,1.68,0.05,-0.05,0,-0.88,0.002,-0.002,0,,,,,,,,,0.76,0.07,-0.07,0,4.8,0.5,-0.5,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...819...93S/abstract target=ref>Street et al. 2016</a>
OGLE-2015-BLG-0966L b,17h55m01.02s,-29d02m49.6s,0.066,0.006,-0.006,0,21,2,-2,0,2.7,,,0,0.38,0.04,-0.04,0,3300,,,0,8000,,,0,2457205.194,0.0012,-0.0012,0,-0.01162,0.0001,-0.0001,0,57.5,0.4,-0.4,0,1.412,0.015,-0.015,0,0.9088,0.0027,-0.0027,0,1.71,0.06,-0.06,0,-0.878,0.002,-0.002,0,,,,,,,,,0.76,0.07,-0.07,0,4.8,0.5,-0.5,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...819...93S/abstract target=ref>Street et al. 2016</a>
OGLE-2015-BLG-0966L b,17h55m01.02s,-29d02m49.6s,0.066,0.006,-0.006,0,21,2,-2,0,2.1,,,0,0.38,0.04,-0.04,0,2500,,,0,4500,,,0,2457205.194,0.0012,-0.0012,0,-0.01162,0.0001,-0.0001,0,57.5,0.4,-0.4,0,1.412,0.015,-0.015,0,0.9088,0.0027,-0.0027,0,1.71,0.06,-0.06,0,-0.878,0.002,-0.002,0,,,,,,,,,0.76,0.07,-0.07,0,4.8,0.5,-0.5,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...819...93S/abstract target=ref>Street et al. 2016</a>
OGLE-2015-BLG-0966L b,17h55m01.02s,-29d02m49.6s,0.066,0.006,-0.006,0,21,2,-2,0,2.7,,,0,0.38,0.04,-0.04,0,3300,,,0,8000,,,0,2457205.196,0.0013,-0.0013,0,-0.01157,0.0001,-0.0001,0,57.7,0.4,-0.4,0,1.406,0.014,-0.014,0,1.1148,0.0033,-0.0033,0,1.68,0.05,-0.05,0,-0.88,0.002,-0.002,0,,,,,,,,,0.76,0.07,-0.07,0,4.8,0.5,-0.5,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...819...93S/abstract target=ref>Street et al. 2016</a>
OGLE-2015-BLG-0966L b,17h55m01.02s,-29d02m49.6s,0.066,0.006,-0.006,0,21,2,-2,0,2.1,,,0,0.38,0.04,-0.04,0,2500,,,0,4500,,,0,2457205.196,0.0013,-0.0013,0,-0.01157,0.0001,-0.0001,0,57.7,0.4,-0.4,0,1.406,0.014,-0.014,0,1.1148,0.0033,-0.0033,0,1.68,0.05,-0.05,0,-0.88,0.002,-0.002,0,,,,,,,,,0.76,0.07,-0.07,0,4.8,0.5,-0.5,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...819...93S/abstract target=ref>Street et al. 2016</a>
OGLE-2016-BLG-1190L b,17h58m52.30s,-27d36m48.8s,13.38,0.88,-0.82,0,4253,280,-260,0,2.17,1.87,-0.38,0,0.88,0.06,-0.05,0,6770,80,-90,0,8700,,,0,2457582.157,0.007,-0.007,0,-0.01797,0.00023,-0.00023,0,93.532,0.891,-0.891,0,0.93,0.044,-0.044,0,0.604,0.002,-0.002,0,144.6,1.9,-1.9,0,0.038,0.005,-0.005,0,,,,,,,,,0.49,0.04,-0.04,0,,,,,1,<a href=https://ui.adsabs.harvard.edu/abs/2017arXiv171009974R/abstract target=ref>Ryu et al. 2018</a>
OGLE-2016-BLG-1190L b,17h58m52.30s,-27d36m48.8s,13.38,0.97,-0.89,0,4253,310,-280,0,2.04,2.1,-0.43,0,0.89,0.07,-0.06,0,6740,80,-90,0,8700,,,0,2457582.154,0.007,-0.007,0,0.00018,0.000002,-0.000002,0,94.034,0.934,-0.934,0,0.908,0.045,-0.045,0,0.604,0.002,-0.002,0,144,1.9,-1.9,0,-0.039,0.005,-0.005,0,,,,,,,,,0.49,0.04,-0.04,0,,,,,0,<a href=https://ui.adsabs.harvard.edu/abs/2017arXiv171009974R/abstract target=ref>Ryu et al. 2018</a>
OGLE-2016-BLG-1195L b,17h55m23.5s,-30d12m26.1s,0.0045,0.0014,-0.001,0,1.43,0.45,-0.32,0,1.16,0.16,-0.13,0,0.078,0.016,-0.012,0,3910,420,-460,0,,,,,2457568.769,0.0013,-0.0013,0,-0.05321,0.00073,-0.00073,0,9.96,0.11,-0.11,0,2.9,0.34,-0.4,0,0.9842,0.0069,-0.0075,0,0.543,0.082,-0.07,0,-0.9684,0.0022,-0.0022,0,18.99,0.02,-0.02,0,,,,,0.286,0.053,-0.038,0,8.7,1.6,-1.2,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2017ApJ...840L...3S/abstract target=ref>Shvartzvald et al. 2017</a>
OGLE-2016-BLG-1195L b,17h55m23.5s,-30d12m26.1s,0.0045,0.0014,-0.001,0,1.43,0.45,-0.32,0,1.16,0.16,-0.13,0,0.078,0.016,-0.012,0,3910,420,-460,0,,,,,2457568.77,0.0013,-0.0013,0,-0.05284,0.00079,-0.00079,0,10.01,0.11,-0.11,0,2.87,0.35,-0.41,0,0.9834,0.007,-0.0072,0,0.549,0.078,-0.073,0,-0.9681,0.0022,-0.0022,0,18.99,0.02,-0.02,0,,,,,0.286,0.053,-0.038,0,8.7,1.6,-1.2,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2017ApJ...840L...3S/abstract target=ref>Shvartzvald et al. 2017</a>
OGLE-2016-BLG-1195L b,17h55m23.5s,-30d12m26.1s,0.0045,0.0014,-0.001,0,1.43,0.45,-0.32,0,1.16,0.16,-0.13,0,0.078,0.016,-0.012,0,3910,420,-460,0,,,,,2457568.769,0.0013,-0.0013,0,0.05317,0.00075,-0.00075,0,9.96,0.11,-0.11,0,2.89,0.34,-0.38,0,0.9839,0.0068,-0.0072,0,0.546,0.081,-0.071,0,0.9684,0.0022,-0.0022,0,18.99,0.02,-0.02,0,,,,,0.286,0.053,-0.038,0,8.7,1.6,-1.2,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2017ApJ...840L...3S/abstract target=ref>Shvartzvald et al. 2017</a>
OGLE-2016-BLG-1195L b,17h55m23.5s,-30d12m26.1s,0.0045,0.0014,-0.001,0,1.43,0.45,-0.32,0,1.16,0.16,-0.13,0,0.078,0.016,-0.012,0,3910,420,-460,0,,,,,2457568.769,0.0013,-0.0013,0,0.0532,0.00073,-0.00073,0,9.96,0.11,-0.11,0,2.9,0.34,-0.4,0,0.984,0.0068,-0.0075,0,0.547,0.079,-0.072,0,0.9684,0.0022,-0.0022,0,18.99,0.02,-0.02,0,,,,,0.286,0.053,-0.038,0,8.7,1.6,-1.2,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2017ApJ...840L...3S/abstract target=ref>Shvartzvald et al. 2017</a>
OGLE-2016-BLG-1195L b,17h55m23.5s,-30d12m26.1s,0.0045,0.0014,-0.001,0,1.43,0.45,-0.32,0,1.16,0.16,-0.13,0,0.078,0.016,-0.012,0,3910,420,-460,0,,,,,2457568.769,0.0013,-0.0013,0,-0.0533,0.00073,-0.00073,0,9.94,0.11,-0.11,0,2.86,0.34,-0.43,0,1.0856,0.0082,-0.0075,0,0.56,0.086,-0.07,0,-0.969,0.0022,-0.0022,0,18.99,0.02,-0.02,0,,,,,0.286,0.053,-0.038,0,8.7,1.6,-1.2,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2017ApJ...840L...3S/abstract target=ref>Shvartzvald et al. 2017</a>
OGLE-2016-BLG-1195L b,17h55m23.5s,-30d12m26.1s,0.0045,0.0014,-0.001,0,1.43,0.45,-0.32,0,1.16,0.16,-0.13,0,0.078,0.016,-0.012,0,3910,420,-460,0,,,,,2457568.77,0.0013,-0.0013,0,-0.05321,0.00075,-0.00075,0,9.95,0.11,-0.11,0,2.85,0.35,-0.42,0,1.0861,0.0081,-0.0076,0,0.568,0.083,-0.073,0,-0.9688,0.0022,-0.0022,0,18.99,0.02,-0.02,0,,,,,0.286,0.053,-0.038,0,8.7,1.6,-1.2,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2017ApJ...840L...3S/abstract target=ref>Shvartzvald et al. 2017</a>
OGLE-2016-BLG-1195L b,17h55m23.5s,-30d12m26.1s,0.0045,0.0014,-0.001,0,1.43,0.45,-0.32,0,1.16,0.16,-0.13,0,0.078,0.016,-0.012,0,3910,420,-460,0,,,,,2457568.769,0.0013,-0.0013,0,0.05321,0.00074,-0.00074,0,9.95,0.11,-0.11,0,2.84,0.35,-0.42,0,1.0862,0.008,-0.0075,0,0.568,0.08,-0.072,0,0.9688,0.0022,-0.0022,0,18.99,0.02,-0.02,0,,,,,0.286,0.053,-0.038,0,8.7,1.6,-1.2,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2017ApJ...840L...3S/abstract target=ref>Shvartzvald et al. 2017</a>
OGLE-2016-BLG-1195L b,17h55m23.5s,-30d12m26.1s,0.0045,0.0014,-0.001,0,1.43,0.45,-0.32,0,1.16,0.16,-0.13,0,0.078,0.016,-0.012,0,3910,420,-460,0,,,,,2457568.77,0.0012,-0.0012,0,0.05324,0.00074,-0.00074,0,9.95,0.11,-0.11,0,2.85,0.35,-0.41,0,1.0853,0.0084,-0.0074,0,0.558,0.084,-0.071,0,0.9689,0.0022,-0.0022,0,18.99,0.02,-0.02,0,,,,,0.286,0.053,-0.038,0,8.7,1.6,-1.2,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2017ApJ...840L...3S/abstract target=ref>Shvartzvald et al. 2017</a>
OGLE-2011-BLG-0265L b,17h57m47.72s,-27d23m40.3s,0.88,0.27,-0.18,0,280,86,-57,0,1.89,0.25,-0.2,0,0.211,0.068,-0.045,0,4380,510,-450,0,,,,,2455760.095,0.0086,-0.0086,0,,,,,53.63,0.19,-0.19,0,,,,,1.039,0.00086,-0.00086,0,39.54,0.63,-0.63,0,-0.4739,0.0024,-0.0024,0,17.57,,,0,,,,,0.419,0.04,-0.04,0,2.85,0.29,-0.29,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804...33S/abstract target=ref>Skowron et al. 2015</a>
OGLE-2011-BLG-0173L b,17h57m15.78s,-28d14m01.9s,,,,,,,,,,,,,0.4,0.3,-0.21,0,6200,1300,-1700,0,,,,,2455689.189,0.044,-0.044,0,0.852,0.039,-0.039,0,29.18,0.86,-0.86,0,,,,,,,,,,,,,,,,,16.272,,,0,17.839,,,0,0.042,1.041,-0.031,0,4.2,2.7,-1.8,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..104P/abstract target=ref>Poleski et al. 2018</a>
OGLE-2011-BLG-0173L b,17h57m15.78s,-28d14m01.9s,6.5,4.8,-3.2,0,2100,1500,-1000,0,0.5,,,0,0.43,0.28,-0.21,0,5900,1200,-1600,0,,,,,2455689.211,0.045,-0.045,0,0.851,0.035,-0.035,0,30.15,0.83,-0.83,0,19.9,8.9,-11.6,0,0.222,0.0056,-0.0056,0,144,34,-25,0,5.8486,0.0223,-0.0271,0,16.272,,,0,17.839,,,0,0.79,4.36,-0.46,0,4.6,2.7,-1.2,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..104P/abstract target=ref>Poleski et al. 2018</a>
OGLE-2011-BLG-0173L b,17h57m15.78s,-28d14m01.9s,6.8,5.1,-3.4,0,2200,1600,-1100,0,0.5,,,0,0.43,0.28,-0.21,0,5900,1200,-1600,0,,,,,2455689.139,0.045,-0.045,0,0.844,0.038,-0.038,0,29.37,0.86,-0.86,0,20.5,8.4,-10.8,0,0.2167,0.0057,-0.0061,0,151,40,-28,0,0.056,0.029,-0.0236,0,16.272,,,0,17.839,,,0,0.76,4.71,-0.43,0,4.7,2.5,-1.2,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..104P/abstract target=ref>Poleski et al. 2018</a>
OGLE-2011-BLG-0173L b,17h57m15.78s,-28d14m01.9s,0.19,0.18,-0.11,0,60,57,-35,0,8,,,0,0.41,0.3,-0.21,0,6100,1300,-1700,0,,,,,2455689.19,0.043,-0.043,0,0.85,0.036,-0.036,0,29.2,0.8,-0.8,0,64,39,-39,0,4.66,0.12,-0.12,0,4.6,1.4,-1.4,0,2.933,0.0061,-0.0072,0,16.272,,,0,17.839,,,0,0.36,3.03,-0.25,0,4.3,2.6,-1.8,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..104P/abstract target=ref>Poleski et al. 2018</a>
OGLE-2013-BLG-1761L b,17h53m38.28s,-28d53m42.98s,2.7,2.5,-1.5,0,860,790,-480,0,1.8,0.5,-0.5,0,0.33,0.32,-0.19,0,6900,1000,-1200,0,,,,,2456565.24,0.065,-0.065,0,0.0886,0.0041,-0.0041,0,38.7,1.2,-1.2,0,6.5,2.8,-2.8,0,1.178,0.026,-0.026,0,81,26,-26,0,1.257,0.024,-0.024,0,19.42,0.05,-0.05,0,,,,,0.225,0.101,-0.101,0,2.12,0.95,-0.95,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2017AJ....154....1H/abstract target=ref>Hirao et al. 2017</a>
OGLE-2015-BLG-0954L b,18h00m44.24s,-28d39m39.2s,3.4,3.7,-1.6,0,1100,1200,-510,0,1.6,1.3,-0.7,0,0.3,0.34,-0.14,0,1200,1100,-500,0,,,,,2457165.227,0.009,-0.009,0,0.0541,0.002,-0.002,0,39.5,1.2,-1.2,0,,,,,0.7977,0.0032,-0.0032,0,103.5,2.6,-2.6,0,1.4039,0.0041,-0.0041,0,21.047,0.033,-0.033,0,,,,,1.28,0.08,-0.08,0,11.8,0.8,-0.8,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2017AJ....154...68B/abstract target=ref>Bennett et al. 2017</a>
OGLE-2015-BLG-0966L b,17h55m01.02s,-29d02m49.6s,0.066,0.006,-0.006,0,21,2,-2,0,2.7,,,0,0.38,0.04,-0.04,0,3300,,,0,8000,,,0,2457205.195,0.0012,-0.0012,0,0.01136,0.0001,-0.0001,0,57.7,0.5,-0.5,0,1.402,0.015,-0.015,0,0.9091,0.0025,-0.0025,0,1.7,0.05,-0.05,0,0.883,0.002,-0.002,0,,,,,,,,,0.76,0.07,-0.07,0,4.8,0.5,-0.5,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...819...93S/abstract target=ref>Street et al. 2016</a>
OGLE-2015-BLG-0966L b,17h55m01.02s,-29d02m49.6s,0.066,0.006,-0.006,0,21,2,-2,0,2.1,,,0,0.38,0.04,-0.04,0,2500,,,0,4500,,,0,2457205.195,0.0012,-0.0012,0,0.01136,0.0001,-0.0001,0,57.7,0.5,-0.5,0,1.402,0.015,-0.015,0,0.9091,0.0025,-0.0025,0,1.7,0.05,-0.05,0,0.883,0.002,-0.002,0,,,,,,,,,0.76,0.07,-0.07,0,4.8,0.5,-0.5,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...819...93S/abstract target=ref>Street et al. 2016</a>
OGLE-2015-BLG-0966L b,17h55m01.02s,-29d02m49.6s,0.066,0.006,-0.006,0,21,2,-2,0,2.7,,,0,0.38,0.04,-0.04,0,3300,,,0,8000,,,0,2457205.195,0.0013,-0.0013,0,0.01136,0.0001,-0.0001,0,57.8,0.4,-0.4,0,1.4,0.015,-0.015,0,1.1146,0.0032,-0.0032,0,1.67,0.05,-0.05,0,0.883,0.002,-0.002,0,,,,,,,,,0.76,0.07,-0.07,0,4.8,0.5,-0.5,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...819...93S/abstract target=ref>Street et al. 2016</a>
OGLE-2015-BLG-0966L b,17h55m01.02s,-29d02m49.6s,0.066,0.006,-0.006,0,21,2,-2,0,2.1,,,0,0.38,0.04,-0.04,0,2500,,,0,4500,,,0,2457205.195,0.0013,-0.0013,0,0.01136,0.0001,-0.0001,0,57.8,0.4,-0.4,0,1.4,0.015,-0.015,0,1.1146,0.0032,-0.0032,0,1.67,0.05,-0.05,0,0.883,0.002,-0.002,0,,,,,,,,,0.76,0.07,-0.07,0,4.8,0.5,-0.5,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...819...93S/abstract target=ref>Street et al. 2016</a>
OGLE-2015-BLG-0966L b,17h55m01.02s,-29d02m49.6s,0.066,0.006,-0.006,0,21,2,-2,0,2.7,,,0,0.38,0.04,-0.04,0,3300,,,0,8000,,,0,2457205.198,0.0012,-0.0012,0,0.01136,0.0001,-0.0001,0,57.7,0.4,-0.4,0,1.407,0.015,-0.015,0,0.9093,0.0026,-0.0026,0,1.7,0.05,-0.05,0,0.883,0.002,-0.002,0,,,,,,,,,0.76,0.07,-0.07,0,4.8,0.5,-0.5,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...819...93S/abstract target=ref>Street et al. 2016</a>
OGLE-2015-BLG-0966L b,17h55m01.02s,-29d02m49.6s,0.066,0.006,-0.006,0,21,2,-2,0,2.1,,,0,0.38,0.04,-0.04,0,2500,,,0,4500,,,0,2457205.198,0.0012,-0.0012,0,0.01136,0.0001,-0.0001,0,57.7,0.4,-0.4,0,1.407,0.015,-0.015,0,0.9093,0.0026,-0.0026,0,1.7,0.05,-0.05,0,0.883,0.002,-0.002,0,,,,,,,,,0.76,0.07,-0.07,0,4.8,0.5,-0.5,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...819...93S/abstract target=ref>Street et al. 2016</a>
OGLE-2015-BLG-0966L b,17h55m01.02s,-29d02m49.6s,0.066,0.006,-0.006,0,21,2,-2,0,2.7,,,0,0.38,0.04,-0.04,0,3300,,,0,8000,,,0,2457205.198,0.0012,-0.0012,0,0.01136,0.0001,-0.0001,0,57.7,0.4,-0.4,0,1.408,0.014,-0.014,0,1.1141,0.0033,-0.0033,0,1.67,0.05,-0.05,0,0.885,0.002,-0.002,0,,,,,,,,,0.76,0.07,-0.07,0,4.8,0.5,-0.5,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...819...93S/abstract target=ref>Street et al. 2016</a>
OGLE-2015-BLG-0966L b,17h55m01.02s,-29d02m49.6s,0.066,0.006,-0.006,0,21,2,-2,0,2.1,,,0,0.38,0.04,-0.04,0,2500,,,0,4500,,,0,2457205.198,0.0012,-0.0012,0,0.01136,0.0001,-0.0001,0,57.7,0.4,-0.4,0,1.408,0.014,-0.014,0,1.1141,0.0033,-0.0033,0,1.67,0.05,-0.05,0,0.885,0.002,-0.002,0,,,,,,,,,0.76,0.07,-0.07,0,4.8,0.5,-0.5,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...819...93S/abstract target=ref>Street et al. 2016</a>
OGLE-2014-BLG-1722L b,17h55m00.57s,-31d28m08.6s,,,,,,,,,,,,,,,,,,,,,,,,,2456900.244,0.001,-0.001,0,0.133,0.002,-0.002,0,23.893,0.202,-0.227,0,0.709,0.555,-0.272,0,0.753,0.002,-0.002,0,4.218,0.285,-0.267,0,0.238,0.002,-0.002,0,18.88,0.01,-0.01,0,,,,,,,,,,,,,0,<a href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..263S/abstract target=ref>Suzuki et al. 2018</a>
OGLE-2014-BLG-1722L b,17h55m00.57s,-31d28m08.6s,0.174,0.161,-0.104,0,55.3,51.3,-33.1,0,1.5,0.6,-0.6,0,0.4,0.36,-0.24,0,6400,1280,-1870,0,,,,,2456900.228,0.009,-0.008,0,-0.132,0.003,-0.003,0,23.797,0.418,-0.38,0,7,6,-5,0,0.754,0.004,-0.004,0,4.451,0.693,-0.557,0,0.23,0.02,-0.024,0,18.87,0.03,-0.03,0,,,,,,,,,,,,,1,<a href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..263S/abstract target=ref>Suzuki et al. 2018</a>
OGLE-2014-BLG-1722L b,17h55m00.57s,-31d28m08.6s,0.173,0.162,-0.104,0,55,51.4,-33.2,0,1.5,0.6,-0.6,0,0.39,0.36,-0.24,0,6380,1290,-1930,0,,,,,2456900.219,0.012,-0.011,0,-0.131,0.004,-0.003,0,23.909,0.801,-0.582,0,6,5,-4,0,0.754,0.006,-0.005,0,4.263,0.678,-0.607,0,0.242,0.035,-0.032,0,18.88,0.04,-0.04,0,,,,,,,,,,,,,0,<a href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..263S/abstract target=ref>Suzuki et al. 2018</a>
OGLE-2014-BLG-1722L c,17h55m00.57s,-31d28m08.6s,0.263,0.272,-0.161,0,83.7,86.4,-51.2,0,1.7,0.7,-0.6,0,0.4,0.36,-0.24,0,6400,1280,-1870,0,,,,,2456900.228,0.009,-0.008,0,-0.132,0.003,-0.003,0,23.797,0.418,-0.38,0,7,6,-5,0,0.843,0.034,-0.03,0,7.071,2.371,-1.832,0,2.19,0.028,-0.033,0,18.87,0.03,-0.03,0,,,,,,,,,,,,,1,<a href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..263S/abstract target=ref>Suzuki et al. 2018</a>
OGLE-2014-BLG-1722L c,17h55m00.57s,-31d28m08.6s,0.262,0.272,-0.161,0,83.3,86.6,-51.3,0,2.7,1.1,-1,0,0.39,0.36,-0.24,0,6380,1290,-1930,0,,,,,2456900.219,0.012,-0.011,0,-0.131,0.004,-0.003,0,23.909,0.801,-0.582,0,6,5,-4,0,1.368,0.044,-0.044,0,7.098,1.836,-1.855,0,2.209,0.036,-0.036,0,18.88,0.04,-0.04,0,,,,,,,,,,,,,0,<a href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..263S/abstract target=ref>Suzuki et al. 2018</a>
OGLE-2016-BLG-1067L b,18h12m49.08s,-27d00m45.5s,0.43,0.21,-0.17,0,140,67,-54,0,1.7,0.38,-0.39,0,0.3,0.15,-0.12,0,3730,660,-670,0,7660,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,,,0,,,,,,,,,,,,,1,<a href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..121C/abstract target=ref>CalchiNovati et al. 2019</a>
