1,N-Z,N,Z,A,EL,MASS EXCESS (keV),MASS EXCESS ERROR (keV),BINDING ENERGY (keV),BINDING ENERGY ERROR (keV),ATOMIC MASS (u),ATOMIC MASS ERROR(u)
0,38,87,49,136,In,-40510#,400#,8087#,3#,#VALUE!,#VALUE!
,36,86,50,136,Sn,-55899#,298#,8195#,2#,#VALUE!,#VALUE!
,34,85,51,136,Sb,-64506.88,5.83,8252.252,0.043,135.930749,0.000006258
,32,84,52,136,Te,-74425.269,2.281,8319.429,0.017,135.9201012,0.000002448
,30,83,53,136,I,-79545.214,14.188,8351.323,0.104,135.9146047,0.000015231
,28,82,54,136,Xe,-86429.159,0.007,8396.188,0,135.9072145,0.000000007
,26,81,55,136,Cs,-86338.697,1.882,8389.77,0.014,135.9073116,0.00000202
,24,80,56,136,Ba,-88886.921,0.306,8402.755,0.002,135.904576,0.000000328
,22,79,57,136,La,-86037.479,53.171,8376.05,0.391,135.907635,0.000057081
,20,78,58,136,Ce,-86508.372,0.408,8373.76,0.003,135.9071294,0.000000438
,18,77,59,136,Pr,-81340.355,11.455,8330.008,0.084,135.9126775,0.000012297
,16,76,60,136,Nd,-79199.287,11.817,8308.512,0.087,135.9149761,0.000012686
,14,75,61,136,Pm,-71169.915,69.073,8243.72,0.508,135.9235959,0.000074152
,12,74,62,136,Sm,-66810.89,12.497,8205.916,0.092,135.9282756,0.000013416
,10,73,63,136,Eu,-56244#,196#,8122#,1#,#VALUE!,#VALUE!
,8,72,64,136,Gd,-49090#,298#,8064#,2#,#VALUE!,#VALUE!
,6,71,65,136,Tb,-36130#,500#,7963#,4#,#VALUE!,#VALUE!
0,39,88,49,137,In,-35040#,500#,8047#,4#,#VALUE!,#VALUE!
,37,87,50,137,Sn,-49788#,401#,8149#,3#,#VALUE!,#VALUE!
,35,86,51,137,Sb,-60060.384,52.164,8218.476,0.381,136.9355225,0.000056
,33,85,52,137,Te,-69303.753,2.1,8280.235,0.015,136.9255994,0.000002254
,31,84,53,137,I,-76356.258,8.383,8326.002,0.061,136.9180282,0.000009
,29,83,54,137,Xe,-82383.404,0.103,8364.286,0.001,136.9115578,0.000000111
,27,82,55,137,Cs,-86545.606,0.358,8388.956,0.003,136.9070895,0.000000384
,25,81,56,137,Ba,-87721.235,0.314,8391.827,0.002,136.9058274,0.000000337
,23,80,57,137,La,-87140.688,1.659,8381.879,0.012,136.9064506,0.00000178
,21,79,58,137,Ce,-85918.588,0.437,8367.248,0.003,136.9077626,0.000000469
,19,78,59,137,Pr,-83201.693,8.137,8341.706,0.059,136.9106793,0.000008735
,17,77,60,137,Nd,-79584.567,11.737,8309.593,0.086,136.9145624,0.0000126
,15,76,61,137,Pm,-74072.848,13.041,8263.651,0.095,136.9204795,0.000014
,13,75,62,137,Sm,-68026.525,42.395,8213.806,0.309,136.9269705,0.000045512
,11,74,63,137,Eu,-60145.895,4.378,8150.573,0.032,136.9354307,0.0000047
,9,73,64,137,Gd,-51214#,298#,8080#,2#,#VALUE!,#VALUE!
,7,72,65,137,Tb,-40967#,401#,7999#,3#,#VALUE!,#VALUE!
0,38,88,50,138,Sn,-44861#,503#,8113#,4#,#VALUE!,#VALUE!
,36,87,51,138,Sb,-54220.403,1064.232,8175.091,7.712,137.941792,0.0011425
,34,86,52,138,Te,-65695.985,3.787,8252.578,0.027,137.9294725,0.000004065
,32,85,53,138,I,-71979.9,5.962,8292.444,0.043,137.9227264,0.0000064
,30,84,54,138,Xe,-79972.233,2.804,8344.69,0.02,137.9141463,0.00000301
,28,83,55,138,Cs,-82886.937,9.159,8360.142,0.066,137.9110172,0.000009832
,26,82,56,138,Ba,-88261.638,0.317,8393.42,0.002,137.9052472,0.000000339
,24,81,57,138,La,-86519.18,3.188,8375.125,0.023,137.9071178,0.000003422
,22,80,58,138,Ce,-87570.922,4.931,8377.077,0.036,137.9059887,0.000005293
,20,79,59,138,Pr,-83133.922,11.15,8339.255,0.081,137.9107521,0.000011969
,18,78,60,138,Nd,-82018.31,11.601,8325.502,0.084,137.9119497,0.000012454
,16,77,61,138,Pm,-74940.483,27.739,8268.544,0.201,137.9195481,0.000029778
,14,76,62,138,Sm,-71497.762,11.817,8237.928,0.086,137.923244,0.000012686
,12,75,63,138,Eu,-61749.669,27.945,8161.62,0.202,137.933709,0.00003
,10,74,64,138,Gd,-55800#,196#,8113#,1#,#VALUE!,#VALUE!
,8,73,65,138,Tb,-43668#,298#,8019#,2#,#VALUE!,#VALUE!
,6,72,66,138,Dy,-34931#,503#,7950#,4#,#VALUE!,#VALUE!
0,39,89,50,139,Sn,-38440#,500#,8066#,4#,#VALUE!,#VALUE!
,37,88,51,139,Sb,-49788#,401#,8142#,3#,#VALUE!,#VALUE!
,35,87,52,139,Te,-60205.072,3.54,8211.771,0.025,138.9353672,0.0000038
,33,86,53,139,I,-68470.954,4.005,8265.609,0.029,138.9264934,0.0000043
,31,85,54,139,Xe,-75644.576,2.142,8311.59,0.015,138.9187922,0.0000023
,29,84,55,139,Cs,-80700.921,3.14,8342.338,0.023,138.913364,0.00000337
,27,83,56,139,Ba,-84913.751,0.319,8367.017,0.002,138.9088413,0.000000342
,25,82,57,139,La,-87226.212,2.009,8378.025,0.014,138.9063588,0.000002156
,23,81,58,139,Ce,-86947.862,7.23,8370.395,0.052,138.9066576,0.000007761
,21,80,59,139,Pr,-84818.798,7.809,8349.449,0.056,138.9089433,0.000008383
,19,79,60,139,Nd,-82013.942,27.6,8323.642,0.199,138.9119544,0.00002963
,17,78,61,139,Pm,-77500.481,13.593,8285.543,0.098,138.9167998,0.000014592
,15,77,62,139,Sm,-72380.219,10.884,8243.078,0.078,138.9222966,0.000011684
,13,76,63,139,Eu,-65398.042,13.151,8187.218,0.095,138.9297923,0.000014117
,11,75,64,139,Gd,-57632#,196#,8126#,1#,#VALUE!,#VALUE!
,9,74,65,139,Tb,-48130#,298#,8052#,2#,#VALUE!,#VALUE!
,7,73,66,139,Dy,-37642#,503#,7971#,4#,#VALUE!,#VALUE!
0,38,89,51,140,Sb,-43939#,596#,8100#,4#,#VALUE!,#VALUE!
,36,88,52,140,Te,-56576.228,62.41,8184.847,0.446,139.9392629,0.000067
,34,87,53,140,I,-63606.213,12.109,8229.473,0.086,139.9317159,0.000013
,32,86,54,140,Xe,-72986.451,2.329,8290.887,0.017,139.9216458,0.0000025
,30,85,55,140,Cs,-77050.105,8.201,8314.325,0.059,139.9172833,0.000008804
,28,84,56,140,Ba,-83269.354,7.933,8353.16,0.057,139.9106067,0.000008516
,26,83,57,140,La,-84315.871,2.009,8355.047,0.014,139.9094832,0.000002156
,24,82,58,140,Ce,-88076.089,1.596,8376.317,0.011,139.9054464,0.000001713
,22,81,59,140,Pr,-84688.089,6.209,8346.529,0.044,139.9090836,0.000006665
,20,80,60,140,Nd,-84258.912,3.447,8337.875,0.025,139.9095443,0.0000037
,18,79,61,140,Pm,-78213.712,24.246,8289.107,0.173,139.9160341,0.000026029
,16,78,62,140,Sm,-75455.935,12.497,8263.82,0.089,139.9189947,0.000013416
,14,77,63,140,Eu,-66985.935,51.538,8197.732,0.368,139.9280876,0.000055328
,12,76,64,140,Gd,-61782.271,27.945,8154.975,0.2,139.933674,0.00003
,10,75,65,140,Tb,-50482.271,800.488,8068.672,5.718,139.945805,0.000859359
,8,74,66,140,Dy,-42830#,401#,8008#,3#,#VALUE!,#VALUE!
,6,73,67,140,Ho,-29259#,503#,7906#,4#,#VALUE!,#VALUE!
0,39,90,51,141,Sb,-39110#,500#,8066#,4#,#VALUE!,#VALUE!
,37,89,52,141,Te,-50487#,401#,8141#,3#,#VALUE!,#VALUE!
,35,88,53,141,I,-59926.657,15.835,8202.255,0.112,140.9356661,0.000017
,33,87,54,141,Xe,-68197.299,2.888,8255.364,0.02,140.9267872,0.0000031
,31,86,55,141,Cs,-74477.523,9.195,8294.356,0.065,140.9200451,0.000009871
,29,85,56,141,Ba,-79732.626,5.319,8326.078,0.038,140.9144035,0.00000571
,27,84,57,141,La,-82931.636,4.219,8343.217,0.03,140.9109692,0.000004528
,25,83,58,141,Ce,-85432.916,1.597,8355.408,0.011,140.908284,0.000001714
,23,82,59,141,Pr,-86015.644,1.665,8353.992,0.012,140.9076584,0.000001787
,21,81,60,141,Nd,-84192.63,3.265,8335.515,0.023,140.9096155,0.000003505
,19,80,61,141,Pm,-80522.921,13.972,8303.94,0.099,140.9135551,0.000015
,17,79,62,141,Sm,-75933.909,8.539,8265.845,0.061,140.9184816,0.000009167
,15,78,63,141,Eu,-69925.629,12.639,8217.684,0.09,140.9249317,0.000013568
,13,77,64,141,Gd,-63224.224,19.76,8164.608,0.14,140.932126,0.000021213
,11,76,65,141,Tb,-54540.837,105.259,8097.475,0.747,140.941448,0.000113
,9,75,66,141,Dy,-45382#,298#,8027#,2#,#VALUE!,#VALUE!
,7,74,67,141,Ho,-34364#,401#,7943#,3#,#VALUE!,#VALUE!
0,38,90,52,142,Te,-46370#,503#,8111#,4#,#VALUE!,#VALUE!
,36,89,53,142,I,-54769.984,374.461,8165.019,2.637,141.941202,0.000402
,34,88,54,142,Xe,-65229.639,2.701,8233.169,0.019,141.9299731,0.0000029
,32,87,55,142,Cs,-70514.55,7.067,8264.877,0.05,141.9242995,0.000007586
,30,86,56,142,Ba,-77842.264,5.92,8310.971,0.042,141.9164329,0.000006355
,28,85,57,142,La,-80024.227,6.309,8320.828,0.044,141.9140905,0.000006773
,26,84,58,142,Ce,-84533.188,2.509,8347.071,0.018,141.9092499,0.000002693
,24,83,59,142,Pr,-83787.476,1.665,8336.31,0.012,141.9100504,0.000001786
,22,82,60,142,Nd,-85949.98,1.368,8346.03,0.01,141.9077289,0.000001468
,20,81,61,142,Pm,-81142.044,23.597,8306.662,0.166,141.9128904,0.000025332
,18,80,62,142,Sm,-78986.47,3.079,8285.972,0.022,141.9152045,0.000003305
,16,79,63,142,Eu,-71313.47,30.158,8226.427,0.212,141.9234418,0.000032375
,14,78,64,142,Gd,-66959.515,27.945,8190.256,0.197,141.928116,0.00003
,12,77,65,142,Tb,-56559.515,700.558,8111.507,4.934,141.9392809,0.000752079
,10,76,66,142,Dy,-50120#,729#,8061#,5#,#VALUE!,#VALUE!
,8,75,67,142,Ho,-37250#,401#,7965#,3#,#VALUE!,#VALUE!
,6,74,68,142,Er,-28030#,500#,7894#,4#,#VALUE!,#VALUE!
0,39,91,52,143,Te,-40278#,503#,8068#,4#,#VALUE!,#VALUE!
,37,90,53,143,I,-50630#,200#,8135#,1#,#VALUE!,#VALUE!
,35,89,54,143,Xe,-60202.873,4.657,8196.885,0.033,142.9353696,0.000005
,33,88,55,143,Cs,-67675.509,7.573,8243.67,0.053,142.9273473,0.00000813
,31,87,56,143,Ba,-73937.197,6.756,8281.987,0.047,142.9206252,0.000007253
,29,86,57,143,La,-78171.515,7.33,8306.127,0.051,142.9160794,0.000007869
,27,85,58,143,Ce,-81606.671,2.508,8324.678,0.018,142.9123916,0.000002692
,25,84,59,143,Pr,-83068.246,1.897,8329.428,0.013,142.9108226,0.000002037
,23,83,60,143,Nd,-84002.234,1.367,8330.488,0.01,142.9098199,0.000001467
,21,82,61,143,Pm,-82960.651,2.996,8317.733,0.021,142.9109381,0.000003216
,19,81,62,143,Sm,-79517.152,2.804,8288.182,0.02,142.9146348,0.00000301
,17,80,63,143,Eu,-74241.3,10.986,8245.817,0.077,142.9202987,0.000011793
,15,79,64,143,Gd,-68231.3,200.301,8198.318,1.401,142.9267507,0.000215032
,13,78,65,143,Tb,-60419.183,51.232,8138.217,0.358,142.9351373,0.000055
,11,77,66,143,Dy,-52168.941,13.041,8075.052,0.091,142.9439943,0.000014
,9,76,67,143,Ho,-42048#,298#,7999#,2#,#VALUE!,#VALUE!
,7,75,68,143,Er,-31260#,400#,7918#,3#,#VALUE!,#VALUE!
0,38,91,53,144,I,-45280#,401#,8098#,3#,#VALUE!,#VALUE!
,36,90,54,144,Xe,-56872.293,5.31,8172.884,0.037,143.9389451,0.0000057
,34,89,55,144,Cs,-63271.353,20.132,8211.889,0.14,143.9320754,0.000021612
,32,88,56,144,Ba,-71767.121,7.136,8265.454,0.05,143.9229548,0.000007661
,30,87,57,144,La,-74849.652,12.937,8281.428,0.09,143.9196456,0.000013888
,28,86,58,144,Ce,-80431.87,2.885,8314.76,0.02,143.9136528,0.000003096
,26,85,59,144,Pr,-80750.517,2.762,8311.54,0.019,143.9133108,0.000002965
,24,84,60,144,Nd,-83747.957,1.367,8326.922,0.009,143.9100929,0.000001467
,22,83,61,144,Pm,-81416.093,2.964,8305.296,0.021,143.9125962,0.000003181
,20,82,62,144,Sm,-81965.535,1.554,8303.679,0.011,143.9120064,0.000001668
,18,81,63,144,Eu,-75619.133,10.789,8254.173,0.075,143.9188195,0.000011582
,16,80,64,144,Gd,-71759.504,27.945,8221.937,0.194,143.922963,0.00003
,14,79,65,144,Tb,-62368.181,27.945,8151.287,0.194,143.933045,0.00003
,12,78,66,144,Dy,-56570.083,7.173,8105.589,0.05,143.9392695,0.0000077
,10,77,67,144,Ho,-44609.513,8.477,8017.097,0.059,143.9521097,0.0000091
,8,76,68,144,Er,-36608#,196#,7956#,1#,#VALUE!,#VALUE!
,6,75,69,144,Tm,-22259#,400#,7851#,3#,#VALUE!,#VALUE!
0,39,92,53,145,I,-40939#,503#,8068#,3#,#VALUE!,#VALUE!
,37,91,54,145,Xe,-51493.329,11.178,8135.087,0.077,144.9447196,0.000012
,35,90,55,145,Cs,-60054.415,9.067,8188.733,0.063,144.9355289,0.000009733
,33,89,56,145,Ba,-67516.176,8.477,8234.798,0.058,144.9275184,0.0000091
,31,88,57,145,La,-72835.317,12.269,8266.087,0.085,144.9218081,0.00001317
,29,87,58,145,Ce,-77067.022,33.902,8289.875,0.234,144.9172651,0.000036395
,27,86,59,145,Pr,-79625.94,7.169,8302.127,0.049,144.914518,0.000007696
,25,85,60,145,Nd,-81431.951,1.384,8309.187,0.01,144.9125792,0.000001485
,23,84,61,145,Pm,-81267.474,2.859,8302.657,0.02,144.9127558,0.000003068
,21,83,62,145,Sm,-80651.318,1.578,8293.013,0.011,144.9134172,0.000001694
,19,82,63,145,Eu,-77991.507,3.106,8269.274,0.021,144.9162727,0.000003334
,17,81,64,145,Gd,-72926.32,19.709,8228.946,0.136,144.9217104,0.000021158
,15,80,65,145,Tb,-66388.411,109.174,8178.461,0.753,144.9287291,0.000117203
,13,79,66,145,Dy,-58242.599,6.52,8116.888,0.045,144.937474,0.000007
,11,78,67,145,Ho,-49120.105,7.452,8048.578,0.051,144.9472674,0.000008
,9,77,68,145,Er,-39240#,200#,7975#,1#,#VALUE!,#VALUE!
,7,76,69,145,Tm,-27583#,196#,7889#,1#,#VALUE!,#VALUE!
0,38,92,54,146,Xe,-47954.943,24.219,8110.415,0.166,145.9485182,0.000026
,36,91,55,146,Cs,-55310.372,2.893,8155.436,0.02,145.9406219,0.000003106
,34,90,56,146,Ba,-64947.086,20.863,8216.082,0.143,145.9302764,0.000022397
,32,89,57,146,La,-69050.283,33.616,8238.828,0.23,145.9258715,0.000036088
,30,88,58,146,Ce,-75635.389,16.306,8278.573,0.112,145.9188021,0.000017504
,28,87,59,146,Pr,-76681.006,34.816,8280.376,0.238,145.9176795,0.000037376
,26,86,60,146,Nd,-80925.867,1.386,8304.092,0.009,145.9131225,0.000001488
,24,85,61,146,Pm,-79454.309,4.308,8288.654,0.03,145.9147023,0.000004624
,22,84,62,146,Sm,-80996.309,3.092,8293.857,0.021,145.9130469,0.000003319
,20,83,63,146,Eu,-77117.541,6.026,8261.932,0.041,145.9172109,0.000006468
,18,82,64,146,Gd,-76085.783,4.108,8249.506,0.028,145.9183185,0.000004409
,16,81,65,146,Tb,-67763.61,44.862,8187.146,0.307,145.9272528,0.000048161
,14,80,66,146,Dy,-62554.918,6.695,8146.112,0.046,145.9328445,0.000007187
,12,79,67,146,Ho,-51238.219,6.587,8063.242,0.045,145.9449935,0.000007071
,10,78,68,146,Er,-44322.012,6.705,8010.512,0.046,145.9524184,0.000007197
,8,77,69,146,Tm,-31055#,200#,7914#,1#,#VALUE!,#VALUE!
0,39,93,54,147,Xe,-42360#,200#,8072#,1#,#VALUE!,#VALUE!
,37,92,55,147,Cs,-51920.064,8.383,8131.8,0.057,146.9442615,0.000009
,35,91,56,147,Ba,-60264.029,19.748,8183.24,0.134,146.9353039,0.0000212
,33,90,57,147,La,-66678.39,10.712,8221.553,0.073,146.9284178,0.0000115
,31,89,58,147,Ce,-72013.891,8.58,8252.527,0.058,146.9226899,0.000009211
,29,88,59,147,Pr,-75444.067,15.857,8270.539,0.108,146.9190075,0.000017023
,27,87,60,147,Nd,-78146.748,1.388,8283.603,0.009,146.916106,0.00000149
,25,86,61,147,Pm,-79042.26,1.399,8284.372,0.01,146.9151446,0.000001501
,23,85,62,147,Sm,-79266.354,1.372,8280.575,0.009,146.9149041,0.000001473
,21,84,63,147,Eu,-77544.756,2.63,8263.541,0.018,146.9167523,0.000002823
,19,83,64,147,Gd,-75356.945,1.965,8243.336,0.013,146.919101,0.000002109
,17,82,65,147,Tb,-70742.665,8.1,8206.624,0.055,146.9240546,0.000008695
,15,81,66,147,Dy,-64196.038,8.849,8156.767,0.06,146.9310827,0.0000095
,13,80,67,147,Ho,-55757.092,5.001,8094.037,0.034,146.9401423,0.000005368
,11,79,68,147,Er,-46607.807,38.191,8026.475,0.26,146.9499645,0.000041
,9,78,69,147,Tm,-35974.4,6.839,7948.817,0.047,146.9613799,0.000007341
0,40,94,54,148,Xe,-38600#,300#,8047#,2#,#VALUE!,#VALUE!
,38,93,55,148,Cs,-46910.942,13.041,8097.546,0.088,147.949639,0.000014
,36,92,56,148,Ba,-57593.735,63.079,8164.441,0.426,147.9381706,0.000067718
,34,91,57,148,La,-62708.735,19.468,8193.716,0.132,147.9326794,0.0000209
,32,90,58,148,Ce,-70398.408,11.195,8240.387,0.076,147.9244242,0.000012018
,30,89,59,148,Pr,-72535.424,15.043,8249.54,0.102,147.92213,0.000016148
,28,88,60,148,Nd,-77407.996,2.127,8277.177,0.014,147.9168991,0.000002283
,26,87,61,148,Pm,-76865.716,5.723,8268.226,0.039,147.9174813,0.000006143
,24,86,62,148,Sm,-79336.264,1.367,8279.633,0.009,147.914829,0.000001467
,22,85,63,148,Eu,-76299.331,10.013,8253.827,0.068,147.9180893,0.000010748
,20,84,64,148,Gd,-76269.329,1.554,8248.338,0.011,147.9181215,0.000001668
,18,83,65,148,Tb,-70537.082,12.464,8204.321,0.084,147.9242753,0.00001338
,16,82,66,148,Dy,-67859.55,8.724,8180.943,0.059,147.9271498,0.000009366
,14,81,67,148,Ho,-57991.158,83.834,8108.979,0.566,147.9377439,0.00009
,12,80,68,148,Er,-51478.989,10.246,8059.692,0.069,147.944735,0.000011
,10,79,69,148,Tm,-38765.027,10.246,7968.5,0.069,147.958384,0.000011
,8,78,70,148,Yb,-30330#,400#,7906#,3#,#VALUE!,#VALUE!
0,39,94,55,149,Cs,-43250#,400#,8073#,3#,#VALUE!,#VALUE!
,37,93,56,149,Ba,-53120.309,437.802,8133.793,2.938,148.942973,0.00047
,35,92,57,149,La,-60219.913,200.262,8176.191,1.344,148.9353513,0.00021499
,33,91,58,149,Ce,-66669.913,10.246,8214.229,0.069,148.9284269,0.000011
,31,90,59,149,Pr,-71039.366,9.874,8238.303,0.066,148.9237361,0.0000106
,29,89,60,149,Nd,-74375.466,2.128,8255.442,0.014,148.9201546,0.000002284
,27,88,61,149,Pm,-76064.256,2.267,8261.526,0.015,148.9183417,0.000002434
,25,87,62,149,Sm,-77135.737,1.311,8263.466,0.009,148.9171914,0.000001407
,23,86,63,149,Eu,-76441.112,3.951,8253.554,0.027,148.9179371,0.000004241
,21,85,64,149,Gd,-75127.011,3.36,8239.484,0.023,148.9193478,0.000003607
,19,84,65,149,Tb,-71488.669,3.667,8209.815,0.025,148.9232538,0.000003936
,17,83,66,149,Dy,-67695.909,9.221,8179.109,0.062,148.9273254,0.000009898
,15,82,67,149,Ho,-61646.578,11.99,8133.259,0.08,148.9338197,0.000012871
,13,81,68,149,Er,-53741.615,27.945,8074.955,0.188,148.942306,0.00003
,11,80,69,149,Tm,-43883#,196#,8004#,1#,#VALUE!,#VALUE!
,9,79,70,149,Yb,-33198#,300#,7927#,2#,#VALUE!,#VALUE!
0,40,95,55,150,Cs,-38170#,400#,8039#,3#,#VALUE!,#VALUE!
,38,94,56,150,Ba,-49900#,300#,8112#,2#,#VALUE!,#VALUE!
,36,93,57,150,La,-56129.966,435.473,8148.225,2.903,149.939742,0.0004675
,34,92,58,150,Ce,-64846.854,11.697,8201.122,0.078,149.930384,0.000012556
,32,91,59,150,Pr,-68300.479,9.015,8218.931,0.06,149.9266764,0.000009678
,30,90,60,150,Nd,-73679.755,1.289,8249.577,0.009,149.9209015,0.000001384
,28,89,61,150,Pm,-73597.139,20.041,8243.81,0.134,149.9209902,0.000021514
,26,88,62,150,Sm,-77051.139,1.274,8261.621,0.009,149.9172822,0.000001368
,24,87,63,150,Eu,-74792.234,6.253,8241.346,0.042,149.9197072,0.000006712
,22,86,64,150,Gd,-75763.934,6.076,8242.609,0.041,149.9186641,0.000006523
,20,85,65,150,Tb,-71105.721,7.384,8206.338,0.049,149.9236649,0.000007927
,18,84,66,150,Dy,-69309.6,4.348,8189.149,0.029,149.9255931,0.000004667
,16,83,67,150,Ho,-61945.881,14.168,8134.842,0.094,149.9334984,0.00001521
,14,82,68,150,Er,-57831.313,17.195,8102.195,0.115,149.9379155,0.000018459
,12,81,69,150,Tm,-46491#,196#,8021#,1#,#VALUE!,#VALUE!
,10,80,70,150,Yb,-38638#,300#,7964#,2#,#VALUE!,#VALUE!
,8,79,71,150,Lu,-24640#,300#,7865#,2#,#VALUE!,#VALUE!
0,41,96,55,151,Cs,-34230#,500#,8013#,3#,#VALUE!,#VALUE!
,39,95,56,151,Ba,-44940#,400#,8079#,3#,#VALUE!,#VALUE!
,37,94,57,151,La,-53310.333,435.473,8129.043,2.884,150.942769,0.0004675
,35,93,58,151,Ce,-61225.052,17.698,8176.277,0.117,150.9342722,0.000019
,33,92,59,151,Pr,-66779.63,11.651,8207.881,0.077,150.9283091,0.000012507
,31,91,60,151,Nd,-70942.988,1.293,8230.272,0.009,150.9238396,0.000001387
,29,90,61,151,Pm,-73386.063,4.653,8241.27,0.031,150.9212168,0.000004994
,27,89,62,151,Sm,-74576.279,1.273,8243.971,0.008,150.9199391,0.000001367
,25,88,63,151,Eu,-74652.854,1.325,8239.297,0.009,150.9198569,0.000001422
,23,87,64,151,Gd,-74188.737,3.056,8231.043,0.02,150.9203551,0.00000328
,21,86,65,151,Tb,-71623.504,4.137,8208.873,0.027,150.923109,0.000004441
,19,85,66,151,Dy,-68752.405,3.293,8184.678,0.022,150.9261913,0.000003535
,17,84,67,151,Ho,-63622.738,8.302,8145.526,0.055,150.9316982,0.000008912
,15,83,68,151,Er,-58266.284,16.47,8104.872,0.109,150.9374486,0.000017681
,13,82,69,151,Tm,-50772.756,19.416,8050.064,0.129,150.9454932,0.000020843
,11,81,70,151,Yb,-41542.342,300.492,7983.755,1.99,150.9554025,0.000322591
,9,80,71,151,Lu,-30108#,300#,7903#,2#,#VALUE!,#VALUE!
0,42,97,55,152,Cs,-28930#,500#,7979#,3#,#VALUE!,#VALUE!
,40,96,56,152,Ba,-41710#,400#,8057#,3#,#VALUE!,#VALUE!
,38,95,57,152,La,-49290#,300#,8102#,2#,#VALUE!,#VALUE!
,36,94,58,152,Ce,-58980#,200#,8161#,1#,#VALUE!,#VALUE!
,34,93,59,152,Pr,-63758.063,18.537,8187.104,0.122,151.9315529,0.0000199
,32,92,60,152,Nd,-70149.407,24.485,8224.005,0.161,151.9246915,0.000026285
,30,91,61,152,Pm,-71254.186,25.912,8226.127,0.17,151.9235055,0.000027817
,28,90,62,152,Sm,-74762.603,1.212,8244.061,0.008,151.919739,0.000001301
,26,89,63,152,Eu,-72888.255,1.326,8226.583,0.009,151.9217512,0.000001423
,24,88,64,152,Gd,-74706.916,1.206,8233.401,0.008,151.9197988,0.000001294
,22,87,65,152,Tb,-70716.916,40.018,8202.004,0.263,151.9240823,0.000042961
,20,86,66,152,Dy,-70117.873,4.624,8192.916,0.03,151.9247254,0.000004963
,18,85,67,152,Ho,-63604.771,12.529,8144.919,0.082,151.9317175,0.00001345
,16,84,68,152,Er,-60500.377,8.83,8119.349,0.058,151.9350502,0.000009479
,14,83,69,152,Tm,-51720.273,54.027,8056.438,0.355,151.944476,0.000058
,12,82,70,152,Yb,-46270.381,149.708,8015.436,0.985,151.9503267,0.000160718
,10,81,71,152,Lu,-33422#,196#,7926#,1#,#VALUE!,#VALUE!
0,41,97,56,153,Ba,-36470#,400#,8023#,3#,#VALUE!,#VALUE!
,39,96,57,153,La,-46060#,300#,8081#,2#,#VALUE!,#VALUE!
,37,95,58,153,Ce,-54910#,200#,8134#,1#,#VALUE!,#VALUE!
,35,94,59,153,Pr,-61568.463,11.882,8172.036,0.078,152.9339035,0.000012755
,33,93,60,153,Nd,-67330.297,2.747,8204.582,0.018,152.9277179,0.000002948
,31,92,61,153,Pm,-70647.824,9.066,8221.152,0.059,152.9241564,0.000009732
,29,91,62,153,Sm,-72559.686,1.219,8228.534,0.008,152.922104,0.000001309
,27,90,63,153,Eu,-73367.222,1.33,8228.699,0.009,152.921237,0.000001428
,25,89,64,153,Gd,-72882.551,1.203,8220.418,0.008,152.9217574,0.000001291
,23,88,65,153,Tb,-71313.338,3.995,8205.048,0.026,152.923442,0.000004289
,21,87,66,153,Dy,-69142.943,4.048,8185.749,0.026,152.925772,0.000004346
,19,86,67,153,Ho,-65012.103,5.094,8153.637,0.033,152.9302066,0.000005468
,17,85,68,153,Er,-60468.604,9.321,8118.827,0.061,152.9350843,0.000010006
,15,84,69,153,Tm,-53973.329,11.983,8071.261,0.078,152.9420572,0.000012864
,13,83,70,153,Yb,-47208#,196#,8022#,1#,#VALUE!,#VALUE!
,11,82,71,153,Lu,-38372.844,150.034,7959.07,0.981,152.9588051,0.000161068
,9,81,72,153,Hf,-27300#,300#,7882#,2#,#VALUE!,#VALUE!
0,42,98,56,154,Ba,-32820#,500#,8000#,3#,#VALUE!,#VALUE!
,40,97,57,154,La,-41530#,300#,8051#,2#,#VALUE!,#VALUE!
,38,96,58,154,Ce,-52220#,200#,8116#,1#,#VALUE!,#VALUE!
,36,95,59,154,Pr,-58104.976,113.009,8148.892,0.734,153.9376217,0.00012132
,34,94,60,154,Nd,-65824.976,52.642,8193.942,0.342,153.929334,0.000056513
,32,93,61,154,Pm,-68511.976,46.326,8206.31,0.301,153.9264494,0.000049733
,30,92,62,154,Sm,-72455.176,1.462,8226.835,0.009,153.9222162,0.000001569
,28,91,63,154,Eu,-71738.121,1.346,8217.098,0.009,153.922986,0.000001444
,26,90,64,154,Gd,-73705.954,1.197,8224.796,0.008,153.9208734,0.000001285
,24,89,65,154,Tb,-70156.303,45.314,8196.666,0.294,153.9246841,0.000048646
,22,88,66,154,Dy,-70393.907,7.445,8193.129,0.048,153.924429,0.000007992
,20,87,67,154,Ho,-64639.311,8.228,8150.681,0.053,153.9306068,0.000008833
,18,86,68,154,Er,-62605.02,4.986,8132.392,0.032,153.9327907,0.000005353
,16,85,69,154,Tm,-54427.131,14.412,8074.208,0.094,153.9415701,0.000015472
,14,84,70,154,Yb,-49932.083,17.281,8039.939,0.112,153.9463957,0.000018552
,12,83,71,154,Lu,-39715#,196#,7969#,1#,#VALUE!,#VALUE!
,10,82,72,154,Hf,-32670#,300#,7918#,2#,#VALUE!,#VALUE!
0,41,98,57,155,La,-37930#,400#,8028#,3#,#VALUE!,#VALUE!
,39,97,58,155,Ce,-47780#,300#,8087#,2#,#VALUE!,#VALUE!
